method,pow_of_two,ncells,accurate_sum,test_sum,diff,relative_diff,runtime_seconds
standard_double,10,1024,51.2000000512,51.200000051201371,1.3713474800169934e-12,2.678413044229777e-14,3.331e-06
long_double_acc,10,1024,51.2000000512,51.200000051200007,7.1054273576010019e-15,1.3877787793936668e-16,5.295e-06
pairwise,10,1024,51.2000000512,51.2000000512,0,0,1.7835e-05
kahan,10,1024,51.2000000512,51.2000000512,0,0,9.987e-06
neumaier,10,1024,51.2000000512,51.2000000512,0,0,1.0099e-05
standard_double,11,2048,102.4000001024,102.40000010240028,2.8421709430404007e-13,2.775557558787334e-15,6.201e-06
long_double_acc,11,2048,102.4000001024,102.40000010240001,1.4210854715202004e-14,1.3877787793936668e-16,9.027e-06
pairwise,11,2048,102.4000001024,102.4000001024,0,0,3.3819e-05
kahan,11,2048,102.4000001024,102.4000001024,0,0,1.9343e-05
neumaier,11,2048,102.4000001024,102.4000001024,0,0,1.5588e-05
standard_double,12,4096,204.8000002048,204.8000002047672,-3.2798652682686225e-11,-1.6014967114202916e-13,1.2064e-05
long_double_acc,12,4096,204.8000002048,204.8000002048,0,0,1.9886e-05
pairwise,12,4096,204.8000002048,204.8000002048,0,0,6.542e-05
kahan,12,4096,204.8000002048,204.8000002048,0,0,3.878e-05
neumaier,12,4096,204.8000002048,204.8000002048,0,0,3.0188e-05
standard_double,13,8192,409.6000004096,409.60000040957374,-2.6261659513693303e-11,-6.4115379607987407e-14,2.4468e-05
long_double_acc,13,8192,409.6000004096,409.60000040960006,5.6843418860808015e-14,1.3877787793936668e-16,3.705e-05
pairwise,13,8192,409.6000004096,409.6000004096,0,0,0.000127143
kahan,13,8192,409.6000004096,409.6000004096,0,0,7.7353e-05
neumaier,13,8192,409.6000004096,409.6000004096,0,0,5.8659e-05
standard_double,14,16384,819.2000008192,819.20000081968158,4.815774445887655e-10,5.878630909511573e-13,4.8452e-05
long_double_acc,14,16384,819.2000008192,819.2000008192,0,0,7.6781e-05
pairwise,14,16384,819.2000008192,819.2000008192,0,0,0.00035418
kahan,14,16384,819.2000008192,819.2000008192,0,0,0.00015689
neumaier,14,16384,819.2000008192,819.2000008192,0,0,0.000115236
standard_double,15,32768,1638.4000016384,1638.4000016387331,3.3310243452433497e-10,2.0330959118117219e-13,9.9079e-05
